date,commodity_group,index,inflation_yoy,inflation_mom
2023-04-01,Education,176.84,7.895057962172047,-0.9077664462624702
2023-05-01,Education,177.36,8.32468087705369,0.29405111965619124
2023-06-01,Education,178.63,8.867625548512903,0.7160577356788433
2023-07-01,Education,178.99,9.087030716723543,0.20153389688182255
2023-08-01,Education,179.0,8.920530607277598,0.0055869042963285764
2023-09-01,Education,189.21,7.511790442638788,5.703910614525154
2023-10-01,Education,189.21,7.511790442638788,0.0
2023-11-01,Education,189.23,7.755822561357539,0.010570265842169135
2023-12-01,Education,189.23,7.578169414440006,0.0
2024-01-01,Education,190.48,7.385274551809662,0.6605717909422326
2024-02-01,Education,190.88,6.959542754678916,0.2099958000840063
2024-03-01,Education,191.39,7.245321080354139,0.2671835708298431
2024-04-01,Education,191.52,8.301289301063107,0.0679241339673009
2024-05-01,Education,191.52,7.983761840324766,0.0
2024-06-01,Education,192.41,7.7142697195319965,0.46470342522972885
2024-07-01,Education,192.66,7.637298173082296,0.12993087677355408
2024-08-01,Education,192.27,7.413407821229057,-0.2024291497975672
2024-09-01,Education,203.33,7.462607684583267,5.752327456181416
2024-10-01,Education,203.39,7.4943184821098185,0.02950868047015831
2024-11-01,Education,202.42,6.970353538022511,-0.47691626923643815
2024-12-01,Education,202.42,6.970353538022511,0.0
2025-01-01,Education,204.51,7.365602687946238,1.0325066693014584
2025-02-01,Education,204.64,7.208717518860008,0.0635665737616753
2025-03-01,Education,204.63,6.917811797899587,-0.004886630179823381
2025-04-01,Education,196.26,2.4749373433583965,-4.09030933880663
2025-05-01,Education,196.28,2.4853801169590684,0.010190563538170494
2025-06-01,Education,196.57,2.1620497895119772,0.14774811493782902
2025-07-01,Education,197.52,2.5225786359389657,0.48328839599125484
2025-08-01,Education,197.52,2.7305351848962323,0.0
2025-09-01,Education,205.5,1.067230610337866,4.0400972053462825
2025-10-01,Education,205.62,1.09641575298689,0.05839416058395219
2025-11-01,Education,205.66,1.600632348582165,0.019453360568033595
2025-12-01,Education,205.85,1.6944965912459198,0.09238549061558743
2020-01-01,Food and non-alcoholic beverages,211.39,,
2020-02-01,Food and non-alcoholic beverages,215.08,,1.7455887222669109
2020-03-01,Food and non-alcoholic beverages,212.74,,-1.0879672679933061
2020-04-01,Food and non-alcoholic beverages,216.13,,1.5934944063175749
2020-05-01,Food and non-alcoholic beverages,216.13,,0.0
2020-06-01,Food and non-alcoholic beverages,217.33,,0.5552213945310802
2020-07-01,Food and non-alcoholic beverages,218.28,,0.4371232687617965
2020-08-01,Food and non-alcoholic beverages,217.97,,-0.1420194245922657
2020-09-01,Food and non-alcoholic beverages,214.27,,-1.6974813047667014
2020-10-01,Food and non-alcoholic beverages,212.81,,-0.6813833014421067
2020-11-01,Food and non-alcoholic beverages,211.66,,-0.5403881396550902
2020-12-01,Food and non-alcoholic beverages,209.73,,-0.911839742984033
2021-01-01,Food and non-alcoholic beverages,211.72,0.15610956052793945,0.9488389834549249
2021-02-01,Food and non-alcoholic beverages,213.54,-0.7160126464571426,0.8596259210277735
2021-03-01,Food and non-alcoholic beverages,213.8,0.49826078781611827,0.12175704785990504
2021-04-01,Food and non-alcoholic beverages,217.01,0.4071623559894544,1.5014031805425487
2021-05-01,Food and non-alcoholic beverages,217.68,0.7171609679359703,0.3087415326482823
2021-06-01,Food and non-alcoholic beverages,218.03,0.3220908296139413,0.16078647556045933
2021-07-01,Food and non-alcoholic beverages,220.94,1.218618288436879,1.334678713938442
2021-08-01,Food and non-alcoholic beverages,222.66,2.1516722484745676,0.7784918982529199
2021-09-01,Food and non-alcoholic beverages,221.27,3.266906239790912,-0.6242701877301693
2021-10-01,Food and non-alcoholic beverages,218.64,2.739532916686249,-1.1885931215257495
2021-11-01,Food and non-alcoholic beverages,223.01,5.362373618066707,1.9987193560190297
2021-12-01,Food and non-alcoholic beverages,222.58,6.1269250941687,-0.19281646562933075
2022-01-01,Food and non-alcoholic beverages,231.41,9.300018892877393,3.9671129481534617
2022-02-01,Food and non-alcoholic beverages,240.02,12.400487028191453,3.7206689425694606
2022-03-01,Food and non-alcoholic beverages,243.31,13.802619270346117,1.3707191067410918
2022-04-01,Food and non-alcoholic beverages,248.75,14.626054098889462,2.235830833093577
2022-05-01,Food and non-alcoholic beverages,254.72,17.01580301359793,2.400000000000002
2022-06-01,Food and non-alcoholic beverages,259.96,19.231298445168086,2.0571608040200973
2022-07-01,Food and non-alcoholic beverages,264.46,19.697655472073848,1.7310355439298375
2022-08-01,Food and non-alcoholic beverages,270.37,21.427288242162934,2.2347424941390193
2022-09-01,Food and non-alcoholic beverages,275.23,24.386496135942526,1.7975367089543948
2022-10-01,Food and non-alcoholic beverages,279.78,27.963776070252464,1.6531628092867567
2022-11-01,Food and non-alcoholic beverages,285.91,28.20501322810638,2.1910072199585517
2022-12-01,Food and non-alcoholic beverages,288.8,29.751100727828184,1.0108075967961927
2023-01-01,Food and non-alcoholic beverages,294.79,27.388617605116462,2.0740997229916847
2023-02-01,Food and non-alcoholic beverages,300.5,25.19790017498542,1.9369720818209535
2023-03-01,Food and non-alcoholic beverages,303.37,24.684558793308952,0.9550748752079841
2023-04-01,Food and non-alcoholic beverages,306.89,23.372864321608034,1.1602993044796728
2023-05-01,Food and non-alcoholic beverages,306.56,20.351758793969843,-0.10753038548013683
2023-06-01,Food and non-alcoholic beverages,310.6,19.47991998769043,1.3178496868476053
2023-07-01,Food and non-alcoholic beverages,307.86,16.410799364743255,-0.8821635544108197
2023-08-01,Food and non-alcoholic beverages,305.37,12.945223212634538,-0.8088091989865598
2023-09-01,Food and non-alcoholic beverages,301.98,9.719143988664026,-1.1101286963355883
2023-10-01,Food and non-alcoholic beverages,298.53,6.701694188290808,-1.142459765547399
2023-11-01,Food and non-alcoholic beverages,302.16,5.683606729390367,1.2159581951562748
2023-12-01,Food and non-alcoholic beverages,300.55,4.0685595567867106,-0.532830288588837
2024-01-01,Food and non-alcoholic beverages,309.63,5.034092065538176,3.0211279321244344
2024-02-01,Food and non-alcoholic beverages,309.39,2.95840266222962,-0.07751186900494256
2024-03-01,Food and non-alcoholic beverages,306.83,1.1405214754260484,-0.8274346294321111
2024-04-01,Food and non-alcoholic beverages,310.77,1.2642966535240552,1.2840986865691129
2024-05-01,Food and non-alcoholic beverages,313.34,2.2116388308976997,0.8269781510441776
2024-06-01,Food and non-alcoholic beverages,313.32,0.8757244043786194,-0.0063828429182288815
2024-07-01,Food and non-alcoholic beverages,312.79,1.601377249399083,-0.169156134303583
2024-08-01,Food and non-alcoholic beverages,314.2,2.891574155941967,0.450781674605949
2024-09-01,Food and non-alcoholic beverages,315.75,4.559904629445644,0.4933163590070011
2024-10-01,Food and non-alcoholic beverages,315.91,5.821860449536076,0.05067300079177883
2024-11-01,Food and non-alcoholic beverages,318.51,5.411040508339937,0.8230192143331871
2024-12-01,Food and non-alcoholic beverages,316.68,5.366827482947922,-0.5745502495996924
2025-01-01,Food and non-alcoholic beverages,322.56,4.175951942641221,1.8567639257294433
2025-02-01,Food and non-alcoholic beverages,325.23,5.119751769611192,0.8277529761904878
2025-03-01,Food and non-alcoholic beverages,327.45,6.720333735293171,0.682593856655278
2025-04-01,Food and non-alcoholic beverages,333.64,7.359140200148029,1.8903649412123968
2025-05-01,Food and non-alcoholic beverages,335.58,7.097721325078199,0.5814650521520193
2025-06-01,Food and non-alcoholic beverages,339.55,8.3716328354398,1.1830264020501913
2025-07-01,Food and non-alcoholic beverages,341.17,9.07318008887752,0.477102046826694
2025-08-01,Food and non-alcoholic beverages,343.25,9.245703373647363,0.6096667350587559
2025-09-01,Food and non-alcoholic beverages,339.94,7.661124307205069,-0.9643117261471268
2025-10-01,Food and non-alcoholic beverages,335.73,6.273938780032284,-1.238453844796139
2025-11-01,Food and non-alcoholic beverages,339.23,6.505290257762719,1.042504393411381
2025-12-01,Food and non-alcoholic beverages,334.38,5.589238347859027,-1.4297084573888008
2020-01-01,Health,272.26,,
2020-02-01,Health,273.86,,0.5876735473444583
2020-03-01,Health,273.54,,-0.1168480245380854
2020-04-01,Health,272.26,,-0.46793887548439717
2020-05-01,Health,278.01,,2.111951810769108
2020-06-01,Health,278.78,,0.27696845437212847
2020-07-01,Health,278.71,,-0.025109405265799634
2020-08-01,Health,279.52,,0.29062466362885786
2020-09-01,Health,278.62,,-0.3219805380652474
2020-10-01,Health,280.2,,0.5670806115856575
2020-11-01,Health,280.12,,-0.02855103497501066
2020-12-01,Health,280.71,,0.2106240182778718
2021-01-01,Health,281.53,3.4048336149268943,0.2921164190801795
2021-02-01,Health,282.87,3.290002190900454,0.475970589280017
2021-03-01,Health,283.34,3.5826570154273485,0.1661540637041714
2021-04-01,Health,283.14,3.99618012194225,-0.07058657443353988
2021-05-01,Health,283.6,2.0107190388835017,0.1624637988274502
2021-06-01,Health,284.02,1.8796183370399566,0.14809590973199338
2021-07-01,Health,284.79,2.1814789566215964,0.27110766847406875
2021-08-01,Health,285.54,2.1536920435031526,0.2633519435373488
2021-09-01,Health,285.42,2.4406001004952937,-0.04202563563774353
2021-10-01,Health,287.22,2.5053533190578348,0.6306495690561409
2021-11-01,Health,288.01,2.816650007139798,0.2750504839495793
2021-12-01,Health,290.57,3.5125218196715435,0.8888580257629952
2022-01-01,Health,295.59,4.994139168117084,1.7276387789517011
2022-02-01,Health,296.45,4.80079188319722,0.290943536655508
2022-03-01,Health,298.01,5.177525234700364,0.526227019733505
2022-04-01,Health,298.45,5.407219043582678,0.1476460521459
2022-05-01,Health,300.88,6.093088857545825,0.814206734796441
2022-06-01,Health,302.22,6.407999436659417,0.445360276522222
2022-07-01,Health,305.72,7.349274904315473,1.1580967507114126
2022-08-01,Health,306.94,7.494571688730112,0.3990579615334111
2022-09-01,Health,310.27,8.70646766169152,1.0849025868247875
2022-10-01,Health,314.8,9.602395376366534,1.4600186933960924
2022-11-01,Health,313.83,8.96496649421894,-0.30813214739517925
2022-12-01,Health,316.18,8.813710981863231,0.7488130516521752
2023-01-01,Health,319.46,8.075374674380065,1.0373837687393195
2023-02-01,Health,322.55,8.80418283015687,0.9672572466036478
2023-03-01,Health,324.13,8.764806550115779,0.489846535420857
2023-04-01,Health,328.67,10.12564918746859,1.400672569647976
2023-05-01,Health,335.53,11.516219090667379,2.0871999269784114
2023-06-01,Health,336.77,11.432069353451112,0.3695645694870908
2023-07-01,Health,339.02,10.892319769723912,0.6681117676752724
2023-08-01,Health,340.63,10.976086531569695,0.47489823609228043
2023-09-01,Health,341.61,10.100879878815228,0.2877021988668016
2023-10-01,Health,343.11,8.993011435832265,0.4390972161236517
2023-11-01,Health,342.77,9.221553070133503,-0.0990935851476249
2023-12-01,Health,343.98,8.792459991144286,0.3530063891239221
2024-01-01,Health,352.4,10.31115006573593,2.4478167335310053
2024-02-01,Health,352.24,9.204774453573084,-0.045402951191819696
2024-03-01,Health,355.75,9.755345077592326,0.9964796729502678
2024-04-01,Health,360.46,9.67231569659537,1.3239634574841785
2024-05-01,Health,364.59,8.660924507495604,1.1457581978582931
2024-06-01,Health,364.3,8.174718650711178,-0.07954140267147913
2024-07-01,Health,365.39,7.7783021650640105,0.2992039527861534
2024-08-01,Health,363.88,6.825587881278805,-0.41325706779057336
2024-09-01,Health,366.63,7.324141564942477,0.7557436517533267
2024-10-01,Health,366.62,6.852029961236927,-0.0027275454818176392
2024-11-01,Health,366.61,6.955101088193261,-0.0027276198788950268
2024-12-01,Health,366.24,6.4713064713064705,-0.10092468836092605
2025-01-01,Health,365.26,3.6492622020431353,-0.26758409785933024
2025-02-01,Health,365.41,3.73892800363389,0.04106663746372696
2025-03-01,Health,366.53,3.0302178496134813,0.30650502175637584
2025-04-01,Health,400.28,11.046995505742663,9.207977518893395
2025-05-01,Health,400.54,9.86039112427659,0.06495453182773225
2025-06-01,Health,401.22,10.134504529234146,0.16977080940729916
2025-07-01,Health,403.84,10.523002818905812,0.6530083246099272
2025-08-01,Health,403.81,10.973397823458274,-0.007428684627563964
2025-09-01,Health,405.39,10.571966287537848,0.39127312349866994
2025-10-01,Health,405.6,10.632262287927553,0.051801968474807225
2025-11-01,Health,407.28,11.093532636862058,0.41420118343193923
2025-12-01,Health,406.8,11.074705111402361,-0.11785503830288313
2020-01-01,"Hotels, cafes, restaurants",322.63,,
2020-02-01,"Hotels, cafes, restaurants",323.33,,0.2169668040789663
2020-03-01,"Hotels, cafes, restaurants",323.38,,0.015464076949256444
2020-04-01,"Hotels, cafes, restaurants",325.04,,0.5133279732822071
2020-05-01,"Hotels, cafes, restaurants",327.38,,0.719911395520545
2020-06-01,"Hotels, cafes, restaurants",322.23,,-1.5730954853686807
2020-07-01,"Hotels, cafes, restaurants",323.61,,0.4282655246252709
2020-08-01,"Hotels, cafes, restaurants",323.79,,0.055622508575137175
2020-09-01,"Hotels, cafes, restaurants",323.39,,-0.12353686031070232
2020-10-01,"Hotels, cafes, restaurants",317.66,,-1.7718544172670603
2020-11-01,"Hotels, cafes, restaurants",319.27,,0.5068312031731859
2020-12-01,"Hotels, cafes, restaurants",318.15,,-0.35080026310020385
2021-01-01,"Hotels, cafes, restaurants",319.42,-0.9949477729907286,0.3991827754204147
2021-02-01,"Hotels, cafes, restaurants",319.59,-1.1567129558036737,0.053221463903319055
2021-03-01,"Hotels, cafes, restaurants",319.52,-1.1936421547405596,-0.02190306329985514
2021-04-01,"Hotels, cafes, restaurants",323.02,-0.6214619739109195,1.0953930896344444
2021-05-01,"Hotels, cafes, restaurants",327.24,-0.04276376076729482,1.3064206550678081
2021-06-01,"Hotels, cafes, restaurants",331.08,2.7464854296620267,1.1734506784011556
2021-07-01,"Hotels, cafes, restaurants",349.45,7.9849201198973985,5.5485079134952375
2021-08-01,"Hotels, cafes, restaurants",349.26,7.866209580283501,-0.05437115467162856
2021-09-01,"Hotels, cafes, restaurants",338.01,4.52085716936208,-3.2210960316096937
2021-10-01,"Hotels, cafes, restaurants",334.58,5.326449663161847,-1.0147628768379602
2021-11-01,"Hotels, cafes, restaurants",335.83,5.186832461552915,0.3736027258054886
2021-12-01,"Hotels, cafes, restaurants",337.24,6.000314317146005,0.4198552839234315
2022-01-01,"Hotels, cafes, restaurants",340.23,6.514933316636395,0.8866089431858626
